,station,max_departure,station_name,station_lat,station_lng,max_arrival
274,302,2.0,Lamon Ave & Chicago Ave,41.9,-87.75,1.0
275,312,2.0,Lockwood Ave & Wrightwood Ave,41.93,-87.76,3.0
276,316,2.0,Lamon Ave & Belmont Ave,41.94,-87.75,3.0
277,321,2.0,Kostner Ave & Wrightwood Ave,41.93,-87.74,1.0
278,322,2.0,Cicero Ave & Grace St,41.95,-87.75,2.0
279,331.0,2.0,Pulaski Rd & 21st St,41.85,-87.72,2.0
280,334.0,2.0,Lawndale Ave & 30th St,41.84,-87.72,2.0
281,335.0,2.0,Komensky Ave & 31st St,41.84,-87.73,2.0
282,344,2.0,Springfield Ave & 47th St,41.81,-87.72,1.0
283,346,2.0,Kedzie Ave & 57th St,41.79,-87.7,1.0
284,347,2.0,Komensky Ave & 55th St,41.79,-87.72,1.0
285,352,2.0,Sayre & Diversey,41.93,-87.8,1.0
286,356,2.0,Lavergne & Fullerton,41.92,-87.75,2.0
287,358,2.0,Kilpatrick Ave & Parker Ave,41.93,-87.74,2.0
288,361,2.0,Kenosha & Wellington,41.93,-87.73,2.0
289,366.0,2.0,Spaulding Ave & 16th St,41.86,-87.71,1.0
290,374,2.0,Kilpatrick Ave & Grand Ave,41.91,-87.74,1.0
291,380,2.0,Fairfield Ave & 44th St,41.81,-87.69,2.0
292,381,2.0,Francisco Ave & 47th St,41.81,-87.7,1.0
293,382,2.0,Kedzie Ave & 48th Pl,41.8,-87.7,2.0
294,385,2.0,St Louis Ave & Norman Bobbins Ave,41.79,-87.71,2.0
295,389,2.0,Maplewood Ave & 59th St,41.79,-87.69,1.0
296,392,2.0,Homan Ave & 65th St,41.78,-87.71,2.0
297,406,2.0,Kostner Ave & 63rd St,41.78,-87.73,2.0
298,407,2.0,Tripp Ave & 65th St,41.77,-87.73,2.0
299,418,2.0,Mozart St & Jackson Blvd,41.88,-87.7,1.0
300,419,2.0,Sacramento Blvd & Polk St,41.87,-87.7,3.0
301,439,2.0,Campbell Ave & Irving Park Rd,41.95,-87.69,3.0
303,464,2.0,Western Ave & Ardmore Ave,41.99,-87.69,3.0
304,474,2.0,Fullerton & Monitor,41.92,-87.77,2.0
305,475,2.0,Whipple/Irving Park,41.95,-87.7,3.0
306,505,2.0,Public Rack - Milwaukee Ave & Haussen Ct,41.94,-87.72,2.0
307,506,2.0,Public Rack - Lawndale Ave & Diversey Ave,41.93,-87.72,3.0
308,510,2.0,Public Rack - Spaulding Ave & North Ave,41.91,-87.71,1.0
309,516,2.0,Public Rack - Kenton Ave & Palmer St,41.92,-87.74,1.0
310,540,2.0,Laramie Ave & Madison St,41.880222833333335,-87.75539833333333,3.0
311,543,2.0,Public Rack - Cicero Ave & Roscoe St,41.94,-87.75,2.0
312,545,2.0,Kostner Ave & Adams St,41.877921666666666,-87.73605,2.0
313,547,2.0,Public Rack - Cicero Ave & Wrightwood Ave,41.93,-87.75,1.0
314,549,2.0,Public Rack - Laramie Ave & Fullerton Ave,41.92,-87.76,3.0
315,559,2.0,Public Rack - Menard Ave & Dakin St - midblock,41.95,-87.77,2.0
316,562,2.0,Racine Ave & 61st St,41.783189,-87.654372,1.0
317,565,2.0,Public Rack - Austin Ave & Wrightwood Ave,41.93,-87.78,1.0
318,574,2.0,Vernon Ave & 79th St,41.75094,-87.61379,2.0
319,575,2.0,Cottage Grove Ave & 78th St,41.75315033333333,-87.60496533333334,2.0
320,579,2.0,Phillips Ave & 79th St,41.75182,-87.565211,1.0
321,582,2.0,Phillips Ave & 83rd St,41.744531,-87.56506,1.0
322,584,2.0,Ellis Ave & 83rd St,41.744172166666665,-87.59910533333333,2.0
323,587,2.0,Wabash Ave & 83rd St,41.743844,-87.622769,2.0
324,594,2.0,Western Blvd & 48th Pl,41.805661,-87.683392,1.0
325,390,2.0,California Ave & Marquette Rd,41.77,-87.69,2.0
326,642,2.0,Latrobe Ave & Chicago Ave,41.894743204,-87.756864667,2.0
327,651,2.0,Michigan Ave & 71st St,41.765286,-87.621748,2.0
328,751,2.0,Public Rack - Kimbark Ave & 67th St,41.77,-87.59,1.0
329,766,2.0,Harold Washington Park,41.8,-87.58,1.0
330,855,2.0,Washtenaw Ave & Superior St,41.89,-87.69,2.0
331,930,2.0,Public Rack - Washtenaw Ave & Devon Ave,42.0,-87.7,1.0
332,932,2.0,Public Rack - Jensen Park,41.96,-87.72,1.0
333,E011,2.0,Dodge Ave & Main St,42.03463185161588,-87.69918769598006,3.0
334,KA1503000001,2.0,Shields Ave & 43rd St,41.81628916666666,-87.634802,1.0
335,KA1503000003,2.0,Cottage Grove Ave & 71st St,41.76571903697,-87.604959713,2.0
337,KA1503000023,2.0,Stony Island Ave & 67th St,41.77343283333333,-87.58535066666667,2.0
338,KA1503000025,2.0,Wentworth Ave & 63rd St,41.78007963264,-87.6297463052,2.0
339,KA1503000031,2.0,Cottage Grove Ave & 67th St,41.77372095205,-87.60563486,2.0
341,KA1503000045,2.0,Stony Island Ave & 71st St,41.7664929373,-87.5864608775,2.0
342,KA1503000047,2.0,Perry Ave & 69th St,41.76929308995,-87.6281959291,1.0
343,KA1503000051,2.0,Halsted St & 47th Pl,41.80813391481,-87.6456165545,2.0
344,KA1503000066,2.0,Wood St & 35th St,41.83010465416,-87.6702983089,2.0
345,KA1503000073,2.0,MLK Jr Dr & 56th St,41.79342945658,-87.6158532619,1.0
