,station,station_name,station_lat,station_lng,arrival_pred,demand_pred,difference
269,620,Orleans St & Chestnut St (NEXT Apts),41.898083166666666,-87.63759066666667,15.0,35.0,-20.0
270,KA1504000079,Larrabee St & Division St,41.90348607004,-87.6433534936,11.0,8.0,3.0
271,KA1504000104,Paulina St & Flournoy St,41.87295,-87.66913,2.0,5.0,-3.0
272,TA1305000004,McCormick Place,41.851563811,-87.618878841,56.0,30.0,26.0
273,TA1305000005,Dearborn St & Adams St,41.8793563587,-87.6297910363,7.0,4.0,3.0
274,13075,Wentworth Ave & Cermak Rd,41.85308455741279,-87.63193130493164,7.0,14.0,-7.0
275,13108,Broadway & Argyle St,41.973815,-87.65966,36.0,23.0,13.0
276,13109,Broadway & Berwyn Ave,41.9784105,-87.65977916666667,20.0,18.0,2.0
277,13128,Clark St & North Ave,41.911974,-87.631942,0.0,0.0,0.0
278,13139,Throop St & Taylor St,41.868968,-87.659141,32.0,29.0,3.0
279,18062,Aberdeen St & Randolph St,41.884156,-87.6543355,4.0,8.0,-4.0
280,KA1503000044,Rush St & Hubbard St,41.890173,-87.626185,13.0,2.0,11.0
281,TA1305000009,Clark St & Ida B Wells Dr,41.8759326655,-87.6305845355,0.0,7.0,-7.0
282,TA1305000037,Paulina Ave & North Ave,41.91039966666666,-87.67012733333334,12.0,5.0,7.0
283,TA1306000011,Wells St & Walton St,41.89993001,-87.63443007,37.0,57.0,-20.0
284,TA1307000163,Clifton Ave & Armitage Ave,41.918216,-87.656936,0.0,0.0,0.0
285,chargingstx4,Morgan St & Lake St*,41.8855025,-87.6523025,6.0,0.0,6.0
286,TA1306000025,Racine Ave & Congress Pkwy,41.87464,-87.65703,22.0,18.0,4.0
287,chargingstx0,Wilton Ave & Diversey Pkwy*,41.932476666666666,-87.65277016666667,0.0,0.0,0.0
288,13036,Michigan Ave & Madison St,41.882134,-87.625125,6.0,55.0,-49.0
289,13194,Ogden Ave & Race Ave,41.891770959,-87.658835649,9.0,2.0,7.0
290,13243,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,6.0,11.0,-5.0
291,13303,Clark St & Chicago Ave,41.89675,-87.63089,33.0,22.0,11.0
292,13353,Ada St & Washington Blvd,41.882778287,-87.661093831,7.0,7.0,0.0
293,KA1503000072,Wacker Dr & Washington St,41.883193612,-87.637385368,1.0,0.0,1.0
294,TA1307000164,Woodlawn Ave & 55th St,41.795264,-87.596471,17.0,3.0,14.0
295,TA1308000021,Winthrop Ave & Lawrence Ave,41.968828333333335,-87.657595,15.0,29.0,-14.0
296,TA1309000002,Michigan Ave & Jackson Blvd,41.87785,-87.62408,3.0,3.0,0.0
297,TA1309000008,Franklin St & Adams St (Temp),41.879132867,-87.635262251,0.0,9.0,-9.0
